syscall,time,process,fields,length,value
77,68950.066010359,666,1,19,1351
77,68950.119038096,666,1,5,439
124,68950.124199247,666,0,0,0
77,68950.129245571,666,1,19,1351
77,68950.142412314,666,1,5,439
124,68950.144438444,666,0,0,0
77,68950.152529283,666,1,19,1351
77,68950.152536139,666,1,5,439
40,68950.154438615,666,1,5,439
77,68950.162659641,666,1,19,1351
77,68950.16266815,666,1,5,439
124,68950.166453725,666,0,0,0
124,68950.166477172,666,0,0,0
124,68950.166491651,666,0,0,0
124,68950.166503561,666,0,0,0
77,68950.172878189,666,1,19,1351
77,68950.182928925,666,1,5,439
124,68950.185048496,666,0,0,0
77,68950.193064664,666,1,19,1351
77,68950.214553897,666,1,5,439
124,68950.23191224,666,0,0,0
77,68950.231927064,666,1,19,1351
77,68950.415856469,666,1,5,439
124,68950.431964362,666,0,0,0
124,68950.431994238,666,0,0,0
77,68950.432003958,666,1,19,1351
77,68950.483947135,666,1,5,439
259,68950.491930261,434,1,5,440
3,68950.491954574,434,5,114,7617
58,68950.491958455,434,1,19,1602
204,68950.491971205,434,4,39,2660
321,68950.491995587,434,5,73,5029
27,68950.492341905,434,21,348,27863
28,68950.492392312,434,1,5,439
380,68950.492453446,434,2,16,1177
380,68950.492457081,434,2,93,5638
28,68950.492460669,434,1,5,439
28,68950.49246182,434,1,5,439
28,68950.492463004,434,1,5,439
100,68950.492482484,434,0,0,0
100,68950.492524442,434,0,0,0
100,68950.492525592,434,0,0,0
100,68950.492544372,434,0,0,0
27,68950.492561333,434,21,342,27407
271,68950.492596326,434,0,0,0
193,68950.492702257,434,4,110,9510
69,68950.492729446,434,1,5,439
380,68950.492742888,434,2,13,1038
28,68950.49274493,434,1,5,439
28,68950.492755331,434,1,5,439
28,68950.4927572,434,1,5,439
28,68950.492758496,434,1,5,439
28,68950.492771484,434,1,5,439
297,68950.492808428,434,1,7,545
33,68950.492811596,434,1,19,1600
33,68950.492812987,434,1,19,1601
33,68950.49281427,434,1,5,443
28,68950.492815405,434,1,5,439
33,68950.492816606,434,1,5,444
28,68950.492817678,434,1,5,439
43,68950.493029997,434,27,369,29625
13,68950.493069208,434,4,48,3843
5,68950.493102298,434,2,38,3222
5,68950.493107972,434,2,38,3213
193,68950.493121077,434,4,85,6933
69,68950.493125737,434,1,5,439
163,68950.49312948,434,4,48,3816
28,68950.493131075,434,1,5,439
5,68950.493137217,434,2,38,3222
193,68950.493149959,434,4,121,10025
222,68950.493153886,434,2,93,4881
69,68950.493157059,434,1,5,439
163,68950.493160316,434,4,48,3813
163,68950.4931692,434,4,48,3867
168,68950.493174787,434,0,0,0
163,68950.493179533,434,4,50,3958
28,68950.493191734,434,1,5,439
5,68950.493201504,434,2,38,3222
193,68950.493211513,434,4,123,10213
222,68950.493215027,434,2,93,4889
69,68950.493217952,434,1,5,439
163,68950.493222277,434,4,50,3954
168,68950.493227074,434,0,0,0
163,68950.493231413,434,4,50,3971
163,68950.49323937,434,4,50,3955
28,68950.493247473,434,1,5,439
5,68950.49325917,434,2,38,3222
193,68950.493268689,434,4,119,9777
222,68950.493272441,434,2,93,4880
69,68950.493275555,434,1,5,439
163,68950.493280262,434,4,50,3952
168,68950.493284528,434,0,0,0
163,68950.493287599,434,4,50,3959
28,68950.493299359,434,1,5,439
5,68950.49330962,434,2,38,3222
193,68950.493318638,434,4,127,10695
222,68950.493322303,434,2,93,4992
69,68950.49332543,434,1,5,439
163,68950.493332178,434,4,50,3959
168,68950.493336265,434,0,0,0
163,68950.493339615,434,4,50,3953
163,68950.493346672,434,4,50,3959
28,68950.493354746,434,1,5,439
5,68950.493365758,434,2,38,3222
193,68950.493374991,434,4,127,10695
222,68950.493378519,434,2,93,4954
69,68950.493381586,434,1,5,439
163,68950.49338561,434,4,51,3988
168,68950.493388734,434,0,0,0
163,68950.493392187,434,4,51,3989
163,68950.493400398,434,4,51,3988
28,68950.49340828,434,1,5,439
5,68950.493418266,434,2,38,3222
193,68950.49342994,434,4,141,11655
222,68950.493433317,434,2,93,4962
69,68950.493436371,434,1,5,439
163,68950.4934403,434,4,51,3972
168,68950.493444674,434,0,0,0
163,68950.493448321,434,4,51,4007
163,68950.493455566,434,4,51,3984
28,68950.493467114,434,1,5,439
5,68950.493482349,434,2,38,3222
193,68950.493491608,434,4,121,10035
222,68950.493495151,434,2,93,4912
69,68950.49349807,434,1,5,439
163,68950.493501277,434,4,51,3974
163,68950.493508011,434,4,51,3973
168,68950.493511664,434,0,0,0
163,68950.493514799,434,4,51,3992
28,68950.493526921,434,1,5,439
5,68950.493534918,434,2,38,3222
193,68950.493544383,434,4,115,9387
222,68950.493547704,434,2,93,4893
69,68950.493550552,434,1,5,439
163,68950.493554392,434,4,51,4005
168,68950.493557747,434,0,0,0
163,68950.49356091,434,4,51,3968
28,68950.49357392,434,1,5,439
5,68950.493584826,434,2,38,3222
193,68950.493596319,434,4,123,10267
222,68950.493599931,434,2,93,4954
69,68950.493602736,434,1,5,439
163,68950.493606839,434,4,51,4007
168,68950.493610571,434,0,0,0
163,68950.49361429,434,4,51,4022
163,68950.493622086,434,4,51,4035
28,68950.493631121,434,1,5,439
5,68950.493640667,434,2,38,3222
193,68950.493651179,434,4,143,12159
222,68950.493654936,434,2,93,4888
69,68950.493657797,434,1,5,439
163,68950.493664892,434,4,51,4006
168,68950.493668207,434,0,0,0
163,68950.493671351,434,4,51,4028
28,68950.493684563,434,1,5,439
5,68950.493696084,434,2,38,3222
193,68950.493706059,434,4,129,10677
222,68950.49370993,434,2,93,4947
69,68950.493712818,434,1,5,439
163,68950.493716752,434,4,51,4017
168,68950.493720257,434,0,0,0
163,68950.493723549,434,4,52,4041
28,68950.493737298,434,1,5,439
5,68950.493749518,434,2,38,3222
193,68950.493759173,434,4,127,10631
222,68950.493762891,434,2,93,4885
69,68950.493765644,434,1,5,439
163,68950.493770009,434,4,52,4045
168,68950.493773782,434,0,0,0
163,68950.493776883,434,4,52,4061
28,68950.493789603,434,1,5,439
5,68950.493797787,434,2,38,3222
193,68950.493806391,434,4,115,9351
222,68950.493810145,434,2,93,4989
69,68950.493813081,434,1,5,439
163,68950.493816337,434,4,52,4040
163,68950.493823464,434,4,52,4028
168,68950.493827516,434,0,0,0
163,68950.493831214,434,4,52,4040
163,68950.493838297,434,4,52,4035
28,68950.493847362,434,1,5,439
5,68950.493862804,434,2,38,3222
193,68950.493872969,434,4,119,9809
222,68950.493877241,434,2,93,5001
69,68950.493880227,434,1,5,439
163,68950.493884473,434,4,52,4057
168,68950.493887311,434,0,0,0
163,68950.493890888,434,4,52,4023
163,68950.493898686,434,4,52,4029
28,68950.493907653,434,1,5,439
5,68950.493921799,434,2,38,3222
193,68950.493931436,434,4,125,10273
222,68950.493935462,434,2,93,4924
69,68950.493938192,434,1,5,439
163,68950.493942266,434,4,52,4064
168,68950.493946385,434,0,0,0
163,68950.493949609,434,4,52,4075
28,68950.493963095,434,1,5,439
5,68950.493985874,434,2,38,3222
193,68950.493996643,434,4,117,9561
222,68950.494000588,434,2,93,4891
69,68950.494003352,434,1,5,439
163,68950.494011953,434,4,52,4059
168,68950.494016636,434,0,0,0
163,68950.494020244,434,4,52,4055
28,68950.494033397,434,1,5,439
5,68950.494044873,434,2,38,3222
193,68950.494055637,434,4,121,9999
222,68950.494059865,434,2,93,4885
69,68950.494062629,434,1,5,439
163,68950.494066695,434,4,52,4013
168,68950.494071089,434,0,0,0
163,68950.494074033,434,4,52,4039
28,68950.494087496,434,1,5,439
5,68950.494102279,434,2,38,3222
193,68950.494112837,434,4,117,9603
222,68950.494116514,434,2,93,4916
69,68950.494119545,434,1,5,439
163,68950.494124076,434,4,52,4028
168,68950.494128058,434,0,0,0
163,68950.494131006,434,4,52,4019
28,68950.494144475,434,1,5,439
5,68950.494154336,434,2,38,3222
193,68950.494163476,434,4,121,10023
222,68950.494167283,434,2,93,4927
69,68950.494169967,434,1,5,439
163,68950.494173564,434,4,52,4020
163,68950.494180213,434,4,52,4019
168,68950.49418393,434,0,0,0
163,68950.494186953,434,4,52,4031
28,68950.494200373,434,1,5,439
5,68950.494213019,434,2,38,3222
193,68950.4942234,434,4,127,10493
222,68950.494226732,434,2,93,4918
69,68950.494229899,434,1,5,439
163,68950.494234249,434,4,52,4023
168,68950.494238017,434,0,0,0
163,68950.494240904,434,4,52,4022
28,68950.494254456,434,1,5,439
5,68950.494267237,434,2,38,3222
193,68950.494278649,434,4,127,10571
222,68950.494282929,434,2,93,4888
69,68950.494285843,434,1,5,439
163,68950.494289913,434,4,52,4019
168,68950.494293795,434,0,0,0
163,68950.494296922,434,4,52,4045
28,68950.494311656,434,1,5,439
5,68950.494325481,434,2,38,3222
193,68950.494335707,434,4,127,10629
222,68950.49433877,434,2,93,5010
69,68950.494341614,434,1,5,439
163,68950.494348988,434,4,52,4044
168,68950.494352016,434,0,0,0
163,68950.494355726,434,4,52,4035
163,68950.494362681,434,4,52,4041
28,68950.494371364,434,1,5,439
5,68950.494387381,434,2,38,3222
193,68950.494397286,434,4,137,11599
222,68950.494401235,434,2,93,5008
69,68950.494404309,434,1,5,439
163,68950.494408867,434,4,52,4060
168,68950.494412007,434,0,0,0
163,68950.494415724,434,4,52,4038
163,68950.494423003,434,4,52,4045
28,68950.494431556,434,1,5,439
5,68950.494444602,434,2,38,3222
193,68950.494454738,434,4,143,12265
222,68950.494458165,434,2,93,4888
69,68950.49446089,434,1,5,439
163,68950.494465242,434,4,52,4062
168,68950.494469257,434,0,0,0
163,68950.494472315,434,4,52,4057
28,68950.494485441,434,1,5,439
5,68950.494498062,434,2,38,3222
193,68950.494508844,434,4,129,10923
222,68950.494512304,434,2,93,4911
69,68950.494515315,434,1,5,439
163,68950.494518697,434,4,52,4057
163,68950.494525699,434,4,52,4040
168,68950.494529628,434,0,0,0
163,68950.494532788,434,4,52,4055
28,68950.494545027,434,1,5,439
5,68950.494554619,434,2,38,3222
193,68950.49456414,434,4,125,10479
222,68950.494567537,434,2,93,4986
69,68950.494570435,434,1,5,439
163,68950.494574864,434,4,52,4052
168,68950.494578732,434,0,0,0
163,68950.494582072,434,4,52,4051
77,68950.496165919,666,1,19,1351
77,68950.496170573,666,1,5,439
163,68950.496192455,434,4,52,4026
28,68950.496203501,434,1,5,439
5,68950.498423812,434,2,38,3222
193,68950.498437272,434,4,131,10975
222,68950.498442384,434,2,93,4951
69,68950.498446072,434,1,5,439
163,68950.498458099,434,4,52,4032
168,68950.498463891,434,0,0,0
163,68950.498468077,434,4,52,4060
28,68950.498482957,434,1,5,439
163,68950.498535003,434,4,52,4058
163,68950.498577963,434,4,52,4051
399,68950.498585773,434,0,0,0
168,68950.498698295,434,0,0,0
168,68950.498764063,434,0,0,0
168,68950.498777674,434,0,0,0
168,68950.498801812,434,0,0,0
168,68950.498815176,434,0,0,0
