syscall,time,process,fields,length,value
77,64709.012235493,666,1,19,1351
77,64709.012244975,666,1,5,439
124,64709.013211428,666,0,0,0
77,64709.02242003,666,1,19,1351
77,64709.114864508,666,1,5,439
124,64709.132100565,666,0,0,0
124,64709.132120367,666,0,0,0
77,64709.132130272,666,1,19,1351
77,64709.264245575,666,1,5,439
124,64709.272352049,666,0,0,0
77,64709.274482713,666,1,19,1351
77,64709.294929177,666,1,5,439
185,64709.304553273,666,1,5,439
108,64709.304593289,666,0,0,0
251,64709.304601053,666,0,0,0
77,64709.305054745,666,1,19,1351
77,64709.48017439,666,1,5,439
124,64709.482513497,666,0,0,0
124,64709.482542644,666,0,0,0
77,64709.483278761,666,1,19,1351
77,64709.483288633,666,1,5,439
124,64709.489864446,666,0,0,0
124,64709.489894395,666,0,0,0
77,64709.490365855,666,1,19,1351
77,64709.500661095,666,1,5,439
124,64709.502317395,666,0,0,0
124,64709.502345617,666,0,0,0
77,64709.505137553,666,1,19,1351
77,64709.510991254,666,1,5,439
124,64709.513393113,666,0,0,0
77,64709.521245768,666,1,19,1351
77,64709.593121795,666,1,5,439
40,64709.600926508,666,1,5,439
77,64709.603351969,666,1,19,1351
77,64709.623917348,666,1,5,439
124,64709.632285285,666,0,0,0
124,64709.632310761,666,0,0,0
77,64709.633681359,666,1,19,1351
77,64709.688345763,666,1,5,439
401,64709.688394868,666,2,94,4835
77,64709.688410484,666,1,5,440
77,64709.688410484,666,1,5,440
401,64709.688422351,666,2,93,4964
77,64709.688438037,666,1,5,439
77,64709.688585747,666,1,5,439
258,64709.688599722,666,0,0,0
258,64709.688609298,666,0,0,0
77,64709.688620595,666,1,5,440
77,64709.68873257,666,1,5,439
258,64709.688741614,666,0,0,0
258,64709.68874846,666,0,0,0
77,64709.688754882,666,1,5,440
77,64709.688793391,666,1,5,439
258,64709.688800204,666,0,0,0
258,64709.688804511,666,0,0,0
77,64709.688809288,666,1,5,440
77,64709.688845455,666,1,5,439
258,64709.688851816,666,0,0,0
77,64709.689318749,666,1,19,1351
77,64709.694392141,666,1,5,439
74,64709.694713002,666,0,0,0
77,64709.694734144,666,1,5,440
77,64709.695256104,666,1,5,439
401,64709.69535242,666,2,94,5052
77,64709.695364909,666,1,5,440
77,64709.695370091,666,1,5,440
401,64709.695391779,666,2,94,4836
77,64709.695406175,666,1,5,439
77,64709.695423105,666,1,5,439
258,64709.69551057,666,0,0,0
258,64709.695520246,666,0,0,0
77,64709.695530568,666,1,5,440
77,64709.695749086,666,1,5,439
258,64709.695866609,666,0,0,0
258,64709.695875837,666,0,0,0
77,64709.695884153,666,1,5,440
77,64709.695928062,666,1,5,439
258,64709.695935045,666,0,0,0
258,64709.695939392,666,0,0,0
77,64709.696018177,666,1,5,440
77,64709.696163296,666,1,5,439
258,64709.69617021,666,0,0,0
77,64709.696183176,666,1,19,1351
77,64709.697412194,666,1,5,439
74,64709.697423736,666,0,0,0
77,64709.697431998,666,1,5,440
77,64709.766830976,666,1,5,439
124,64709.772546194,666,0,0,0
77,64709.772569143,666,1,19,1351
77,64709.784061731,666,1,5,439
258,64709.784091504,666,0,0,0
77,64709.784099233,666,1,5,440
77,64709.7841357,666,1,5,439
258,64709.784141623,666,0,0,0
77,64709.789713511,666,1,19,1351
77,64709.79437394,666,1,5,439
401,64709.79440974,666,2,93,4831
77,64709.794423758,666,1,5,440
77,64709.797756535,666,1,5,439
74,64709.79811486,666,0,0,0
77,64709.799162225,666,1,19,1351
77,64709.980227701,666,1,5,439
124,64709.982620782,666,0,0,0
124,64709.982653481,666,0,0,0
77,64709.982670067,666,1,19,1351
77,64709.987598713,666,1,5,439
124,64709.990102172,666,0,0,0
124,64709.9901311,666,0,0,0
77,64709.990275204,666,1,19,1351
77,64710.002146736,666,1,5,439
124,64710.012077953,666,0,0,0
124,64710.012101667,666,0,0,0
124,64710.015261437,666,0,0,0
77,64710.015281383,666,1,19,1351
77,64710.13067478,666,1,5,439
124,64710.132488753,666,0,0,0
124,64710.132518017,666,0,0,0
77,64710.139328309,666,1,19,1351
77,64710.264049909,666,1,5,439
124,64710.272671908,666,0,0,0
77,64710.274265833,666,1,19,1351
77,64710.304537719,666,1,5,439
185,64710.304741823,666,1,5,439
108,64710.304778746,666,0,0,0
251,64710.304787629,666,0,0,0
77,64710.305216049,666,1,19,1351
77,64710.480918963,666,1,5,439
124,64710.482857878,666,0,0,0
124,64710.482886044,666,0,0,0
77,64710.485515008,666,1,19,1351
77,64710.485524473,666,1,5,439
124,64710.490350875,666,0,0,0
124,64710.490379325,666,0,0,0
77,64710.491125711,666,1,19,1351
77,64710.50528876,666,1,5,439
401,64710.505674373,666,2,95,4962
77,64710.509041595,666,1,19,1351
77,64710.509075318,666,1,5,439
74,64710.510549972,666,0,0,0
126,64710.510621693,666,0,0,0
126,64710.510647358,666,0,0,0
126,64710.510668387,666,0,0,0
126,64710.510688624,666,0,0,0
126,64710.510717695,666,0,0,0
126,64710.510745039,666,0,0,0
126,64710.510765242,666,0,0,0
126,64710.510786204,666,0,0,0
126,64710.510807673,666,0,0,0
126,64710.51082678,666,0,0,0
126,64710.510849353,666,0,0,0
124,64710.510874976,666,0,0,0
77,64710.512150637,666,1,19,1351
77,64710.51216051,666,1,5,439
74,64710.51270955,666,0,0,0
77,64710.512726748,666,1,5,440
77,64710.512726748,666,1,5,440
124,64710.512938355,666,0,0,0
124,64710.512955497,666,0,0,0
77,64710.512964641,666,1,5,439
