syscall,time,process,fields,length,value
77,61563.097921771,666,1,19,1351
77,61563.222238762,666,1,5,439
124,61563.23226794,666,0,0,0
124,61563.232297586,666,0,0,0
77,61563.238021926,666,1,19,1351
77,61563.299579555,666,1,5,439
185,61563.302827477,666,1,5,439
108,61563.302876311,666,0,0,0
251,61563.302886344,666,0,0,0
77,61563.309796113,666,1,19,1351
77,61563.332580203,666,1,5,439
124,61563.342495547,666,0,0,0
77,61563.342604456,666,1,19,1351
77,61563.492268268,666,1,5,439
124,61563.501623511,666,0,0,0
124,61563.50164773,666,0,0,0
77,61563.502382312,666,1,19,1351
77,61563.533814786,666,1,5,439
124,61563.542497494,666,0,0,0
124,61563.542527326,666,0,0,0
124,61563.542543967,666,0,0,0
77,61563.544026867,666,1,19,1351
77,61563.545526098,666,1,5,439
124,61563.552443298,666,0,0,0
77,61563.554255354,666,1,19,1351
77,61563.564424777,666,1,5,439
124,61563.572442099,666,0,0,0
77,61563.574643158,666,1,19,1351
77,61563.584928039,666,1,5,439
40,61563.590424875,666,1,5,439
77,61563.595149129,666,1,19,1351
77,61563.728443444,666,1,5,439
124,61563.732460309,666,0,0,0
124,61563.732485571,666,0,0,0
77,61563.738655426,666,1,19,1351
77,61563.841385852,666,1,5,439
124,61563.842715689,666,0,0,0
77,61563.851611706,666,1,19,1351
77,61563.997964456,666,1,5,439
124,61564.001864879,666,0,0,0
124,61564.00189081,666,0,0,0
77,61564.008409967,666,1,19,1351
77,61564.032312966,666,1,5,439
124,61564.044872423,666,0,0,0
124,61564.044900108,666,0,0,0
124,61564.044914679,666,0,0,0
77,61564.044926703,666,1,19,1351
77,61564.044932202,666,1,5,439
124,61564.052516007,666,0,0,0
77,61564.055152125,666,1,19,1351
77,61564.065336918,666,1,5,439
124,61564.072614154,666,0,0,0
77,61564.075554593,666,1,19,1351
77,61564.229290406,666,1,5,439
124,61564.24224446,666,0,0,0
124,61564.242268614,666,0,0,0
77,61564.242280129,666,1,19,1351
77,61564.293520179,666,1,5,439
185,61564.303164841,666,1,5,439
108,61564.303211894,666,0,0,0
251,61564.303222144,666,0,0,0
77,61564.303655998,666,1,19,1351
77,61564.342233479,666,1,5,439
124,61564.343609715,666,0,0,0
77,61564.352405357,666,1,19,1351
77,61564.496038953,666,1,5,439
124,61564.502122434,666,0,0,0
124,61564.502153499,666,0,0,0
77,61564.506272648,666,1,19,1351
77,61564.537054101,666,1,5,439
124,61564.545143439,666,0,0,0
124,61564.545173498,666,0,0,0
124,61564.54519172,666,0,0,0
77,61564.545698297,666,1,19,1351
77,61564.547280706,666,1,5,439
124,61564.552757465,666,0,0,0
77,61564.557509951,666,1,19,1351
77,61564.567743661,666,1,5,439
124,61564.572818192,666,0,0,0
77,61564.577987543,666,1,19,1351
77,61564.588298491,666,1,5,439
40,61564.591631592,666,1,5,439
77,61564.598546523,666,1,19,1351
77,61564.742227026,666,1,5,439
124,61564.752250113,666,0,0,0
124,61564.752268759,666,0,0,0
77,61564.762219975,666,1,19,1351
