syscall,time,process,fields,length,value
77,63328.871687775,666,1,19,1351
77,63328.903139071,666,1,5,439
185,63328.903503585,666,1,5,439
108,63328.903539699,666,0,0,0
251,63328.903547125,666,0,0,0
77,63328.913392669,666,1,19,1351
77,63328.985553646,666,1,5,439
124,63328.987365543,666,0,0,0
124,63328.987396174,666,0,0,0
77,63328.995908334,666,1,19,1351
77,63329.006133275,666,1,5,439
124,63329.022914903,666,0,0,0
124,63329.022945648,666,0,0,0
77,63329.022960235,666,1,19,1351
77,63329.064974353,666,1,5,439
124,63329.073178169,666,0,0,0
124,63329.073212478,666,0,0,0
124,63329.073232453,666,0,0,0
77,63329.075194468,666,1,19,1351
77,63329.265954273,666,1,5,439
124,63329.273177861,666,0,0,0
124,63329.273212238,666,0,0,0
77,63329.276179903,666,1,19,1351
77,63329.327538426,666,1,5,439
124,63329.333105449,666,0,0,0
77,63329.337772472,666,1,19,1351
77,63329.481510038,666,1,5,439
124,63329.487631954,666,0,0,0
124,63329.487666277,666,0,0,0
40,63329.489978149,666,1,5,439
77,63329.491725928,666,1,19,1351
77,63329.512836087,666,1,5,439
124,63329.52303162,666,0,0,0
124,63329.523061286,666,0,0,0
77,63329.523076163,666,1,19,1351
77,63329.564084837,666,1,5,439
124,63329.573445342,666,0,0,0
124,63329.573473227,666,0,0,0
124,63329.573488342,666,0,0,0
77,63329.574293369,666,1,19,1351
77,63329.768963679,666,1,5,439
124,63329.773402516,666,0,0,0
124,63329.77342573,666,0,0,0
77,63329.779208229,666,1,19,1351
77,63329.830512675,666,1,5,439
124,63329.833295148,666,0,0,0
77,63329.840771435,666,1,19,1351
77,63329.892930649,666,1,5,439
185,63329.908797179,666,1,5,439
108,63329.908843406,666,0,0,0
251,63329.90885134,666,0,0,0
77,63329.908876777,666,1,19,1351
77,63329.980531827,666,1,5,439
124,63329.987878282,666,0,0,0
124,63329.987911366,666,0,0,0
77,63329.990746851,666,1,19,1351
77,63330.012953254,666,1,5,439
124,63330.032923917,666,0,0,0
124,63330.032946285,666,0,0,0
77,63330.032956477,666,1,19,1351
77,63330.063578875,666,1,5,439
124,63330.082877517,666,0,0,0
124,63330.082902603,666,0,0,0
124,63330.082914973,666,0,0,0
77,63330.082923859,666,1,19,1351
77,63330.162885485,666,1,5,439
27,63330.163378254,1098,21,465,36803
271,63330.163392022,1098,0,0,0
163,63330.163397642,1098,4,53,4111
183,63330.163403888,1098,4,42,3487
183,63330.163406485,1098,4,42,3481
168,63330.163408703,1098,0,0,0
311,63330.163419543,1098,0,0,0
311,63330.163420824,1098,0,0,0
242,63330.163422548,1098,0,0,0
112,63330.163423904,1098,0,0,0
77,63330.16343024,1098,1,5,440
77,63330.164317455,1098,1,5,440
27,63330.16432211,1098,21,466,36842
271,63330.164335934,1098,0,0,0
163,63330.164342952,1098,4,53,4078
183,63330.164349304,1098,4,42,3492
168,63330.164352221,1098,0,0,0
311,63330.164361226,1098,0,0,0
311,63330.164362603,1098,0,0,0
242,63330.16436459,1098,0,0,0
112,63330.164365953,1098,0,0,0
77,63330.164384888,1098,1,5,439
77,63330.17732625,666,1,5,439
216,63330.17733379,1098,0,0,0
40,63330.177337772,1098,1,5,439
216,63330.183059184,1098,0,0,0
216,63330.193259257,1098,0,0,0
40,63330.193263232,1098,1,5,439
216,63330.193290637,1098,0,0,0
77,63330.193297405,1098,1,5,440
77,63330.19333586,1098,1,5,439
242,63330.193351326,1098,0,0,0
163,63330.193357506,1098,4,53,4129
168,63330.193362432,1098,0,0,0
27,63330.193394863,1098,21,468,36990
242,63330.193407823,1098,0,0,0
27,63330.193762676,1098,21,466,36871
271,63330.193773286,1098,0,0,0
163,63330.193778557,1098,4,53,4081
168,63330.193781999,1098,0,0,0
