syscall,time,process,fields,length,value
77,68196.564657897,666,1,19,1351
77,68196.790364404,666,1,5,439
124,68196.794554684,666,0,0,0
77,68196.796687599,666,1,19,1351
77,68196.883824297,666,1,5,439
124,68196.884702052,666,0,0,0
124,68196.884729759,666,0,0,0
124,68196.884745536,666,0,0,0
124,68196.884758794,666,0,0,0
124,68196.884772829,666,0,0,0
77,68196.885159145,666,1,19,1351
77,68196.904491587,666,1,5,439
124,68196.914773623,666,0,0,0
77,68196.914800984,666,1,19,1351
77,68196.935287213,666,1,5,439
124,68196.944540165,666,0,0,0
124,68196.944569184,666,0,0,0
77,68196.945493818,666,1,19,1351
77,68196.955794963,666,1,5,439
185,68196.964499326,666,1,5,439
108,68196.964542659,666,0,0,0
251,68196.964552161,666,0,0,0
77,68196.972717261,666,1,19,1351
77,68197.044439746,666,1,5,439
124,68197.054716682,666,0,0,0
77,68197.054746223,666,1,19,1351
77,68197.264462807,666,1,5,439
40,68197.267840938,666,1,5,439
77,68197.283372753,666,1,19,1351
77,68197.283378635,666,1,5,439
27,68197.291707381,1098,21,465,36797
271,68197.291719908,1098,0,0,0
163,68197.291725007,1098,4,53,4157
183,68197.291730755,1098,4,42,3480
183,68197.291733508,1098,4,42,3475
168,68197.291735677,1098,0,0,0
311,68197.291746411,1098,0,0,0
311,68197.291747681,1098,0,0,0
242,68197.291749379,1098,0,0,0
112,68197.29175071,1098,0,0,0
77,68197.291757363,1098,1,5,440
77,68197.291757363,1098,1,5,440
27,68197.292679446,1098,21,466,36847
271,68197.292687029,1098,0,0,0
163,68197.292691497,1098,4,53,4111
183,68197.292697655,1098,4,42,3488
168,68197.292700332,1098,0,0,0
311,68197.292707833,1098,0,0,0
311,68197.292709202,1098,0,0,0
242,68197.292710968,1098,0,0,0
112,68197.292712351,1098,0,0,0
27,68197.292719298,1098,21,466,36858
271,68197.292727043,1098,0,0,0
163,68197.292730385,1098,4,53,4115
168,68197.29273311,1098,0,0,0
311,68197.292738466,1098,0,0,0
311,68197.292739738,1098,0,0,0
242,68197.292741256,1098,0,0,0
112,68197.29274265,1098,0,0,0
77,68197.292751514,1098,1,5,440
77,68197.294443756,666,1,5,439
216,68197.294468364,1098,0,0,0
77,68197.304499001,666,1,19,1351
77,68197.304504047,666,1,5,439
216,68197.304516482,1098,0,0,0
40,68197.304520012,1098,1,5,439
77,68197.304527352,666,1,19,1351
77,68197.304540996,666,1,5,439
124,68197.304551733,666,0,0,0
77,68197.31459483,666,1,19,1351
77,68197.314599398,666,1,5,439
216,68197.314611369,1098,0,0,0
40,68197.314615152,1098,1,5,439
216,68197.328366299,1098,0,0,0
40,68197.328370868,1098,1,5,439
77,68197.334443413,666,1,19,1351
77,68197.334501572,666,1,5,439
216,68197.334510338,1098,0,0,0
216,68197.334540746,1098,0,0,0
77,68197.334547232,1098,1,5,440
77,68197.334579372,1098,1,5,439
40,68197.334584489,1098,1,5,439
216,68197.344428684,1098,0,0,0
40,68197.34443145,1098,1,5,439
216,68197.354505534,1098,0,0,0
40,68197.354509011,1098,1,5,439
216,68197.35453662,1098,0,0,0
77,68197.354542536,1098,1,5,440
77,68197.354580518,1098,1,5,439
40,68197.354583651,1098,1,5,439
216,68197.365327504,1098,0,0,0
40,68197.365331523,1098,1,5,439
77,68197.37457381,666,1,19,1351
77,68197.374578632,666,1,5,439
216,68197.374591061,1098,0,0,0
216,68197.374624581,1098,0,0,0
77,68197.37463282,1098,1,5,440
77,68197.374654889,1098,1,5,439
40,68197.374658175,1098,1,5,439
216,68197.394508861,1098,0,0,0
40,68197.394515766,1098,1,5,439
216,68197.39454467,1098,0,0,0
77,68197.394558248,1098,1,5,440
77,68197.394591538,666,1,5,439
124,68197.394608001,666,0,0,0
124,68197.394625928,666,0,0,0
124,68197.394637824,666,0,0,0
124,68197.39464729,666,0,0,0
