syscall,time,process,fields,length,value
77,66071.125637328,666,1,19,1351
77,66071.253492957,666,1,5,439
124,66071.255953478,666,0,0,0
124,66071.255986695,666,0,0,0
124,66071.256003193,666,0,0,0
124,66071.256018325,666,0,0,0
124,66071.256032531,666,0,0,0
77,66071.25787321,666,1,19,1351
77,66071.26373994,666,1,5,439
124,66071.265846344,666,0,0,0
77,66071.273973808,666,1,19,1351
77,66071.304751058,666,1,5,439
124,66071.30698362,666,0,0,0
77,66071.315002327,666,1,19,1351
77,66071.366681886,666,1,5,439
185,66071.376296707,666,1,5,439
108,66071.376342797,666,0,0,0
251,66071.376351748,666,0,0,0
77,66071.376851498,666,1,19,1351
77,66071.397389207,666,1,5,439
124,66071.405911345,666,0,0,0
124,66071.405940974,666,0,0,0
77,66071.407608064,666,1,19,1351
77,66071.479381555,666,1,5,439
124,66071.48585701,666,0,0,0
77,66071.489604558,666,1,19,1351
77,66071.694679955,666,1,5,439
40,66071.704715569,666,1,5,439
77,66071.705489846,666,1,19,1351
77,66071.747062725,666,1,5,439
124,66071.756170603,666,0,0,0
124,66071.756200195,666,0,0,0
124,66071.756217237,666,0,0,0
124,66071.756234134,666,0,0,0
124,66071.756249713,666,0,0,0
77,66071.765623519,666,1,19,1351
77,66071.765633981,666,1,5,439
124,66071.771707948,666,0,0,0
77,66071.775758145,666,1,19,1351
77,66071.806499207,666,1,5,439
124,66071.807158804,666,0,0,0
77,66071.816778707,666,1,19,1351
77,66071.898833904,666,1,5,439
124,66071.906177944,666,0,0,0
124,66071.906206416,666,0,0,0
77,66071.909061106,666,1,19,1351
77,66071.983149947,666,1,5,439
124,66071.986106729,666,0,0,0
77,66071.993401303,666,1,19,1351
77,66072.248184997,666,1,5,439
124,66072.256426586,666,0,0,0
124,66072.256459041,666,0,0,0
124,66072.256476501,666,0,0,0
124,66072.256494124,666,0,0,0
124,66072.256510202,666,0,0,0
77,66072.256854393,666,1,19,1351
77,66072.267137825,666,1,5,439
124,66072.271904688,666,0,0,0
77,66072.276193192,666,1,19,1351
77,66072.297882996,666,1,5,439
124,66072.30740154,666,0,0,0
77,66072.308047375,666,1,19,1351
77,66072.369508337,666,1,5,439
185,66072.376586267,666,1,5,439
108,66072.376629083,666,0,0,0
251,66072.376638298,666,0,0,0
77,66072.37973853,666,1,19,1351
77,66072.400250675,666,1,5,439
124,66072.406437796,666,0,0,0
124,66072.406467264,666,0,0,0
77,66072.410484149,666,1,19,1351
77,66072.482296018,666,1,5,439
124,66072.486348263,666,0,0,0
77,66072.492340999,666,1,19,1351
77,66072.698771563,666,1,5,439
40,66072.705951717,666,1,5,439
77,66072.709085086,666,1,19,1351
77,66072.750346808,666,1,5,439
124,66072.756722316,666,0,0,0
124,66072.756750595,666,0,0,0
124,66072.756765209,666,0,0,0
124,66072.75677898,666,0,0,0
124,66072.756791997,666,0,0,0
77,66072.760575288,666,1,19,1351
77,66072.760586337,666,1,5,439
124,66072.775653935,666,0,0,0
77,66072.775680887,666,1,19,1351
77,66072.806300825,666,1,5,439
124,66072.80795166,666,0,0,0
77,66072.816583598,666,1,19,1351
77,66072.89877614,666,1,5,439
124,66072.906702301,666,0,0,0
124,66072.906730941,666,0,0,0
77,66072.90899496,666,1,19,1351
77,66072.980748362,666,1,5,439
124,66072.986616974,666,0,0,0
77,66072.990980318,666,1,19,1351
77,66073.225613797,666,1,5,439
27,66073.232703462,1098,21,465,36911
271,66073.232716603,1098,0,0,0
163,66073.232721405,1098,4,53,4143
183,66073.232727676,1098,4,42,3482
183,66073.232730417,1098,4,42,3478
168,66073.232732611,1098,0,0,0
311,66073.232744329,1098,0,0,0
311,66073.23274559,1098,0,0,0
242,66073.232747318,1098,0,0,0
112,66073.232748847,1098,0,0,0
77,66073.232755717,1098,1,5,440
77,66073.232755717,1098,1,5,440
27,66073.233736028,1098,21,466,36948
271,66073.233743957,1098,0,0,0
163,66073.233748398,1098,4,53,4087
183,66073.233754738,1098,4,42,3487
168,66073.233757238,1098,0,0,0
311,66073.233765583,1098,0,0,0
311,66073.233766817,1098,0,0,0
242,66073.233768672,1098,0,0,0
112,66073.233770039,1098,0,0,0
27,66073.233778001,1098,21,466,36968
271,66073.233785826,1098,0,0,0
163,66073.233789498,1098,4,53,4091
168,66073.233792124,1098,0,0,0
311,66073.233798805,1098,0,0,0
311,66073.233799966,1098,0,0,0
242,66073.233801546,1098,0,0,0
112,66073.233802769,1098,0,0,0
77,66073.233811416,1098,1,5,440
77,66073.234278166,1098,1,5,440
216,66073.235603445,1098,0,0,0
77,66073.249764532,666,1,19,1351
77,66073.2497695,666,1,5,439
216,66073.249781879,1098,0,0,0
40,66073.249785848,1098,1,5,439
77,66073.24979426,666,1,19,1351
77,66073.249810766,666,1,5,439
216,66073.255684526,1098,0,0,0
216,66073.265683014,1098,0,0,0
40,66073.265686682,1098,1,5,439
124,66073.26569752,666,0,0,0
124,66073.265720841,666,0,0,0
124,66073.265732384,666,0,0,0
124,66073.26574421,666,0,0,0
124,66073.265754411,666,0,0,0
77,66073.265765021,666,1,19,1351
77,66073.275637925,666,1,5,439
216,66073.275662698,1098,0,0,0
124,66073.286861311,666,0,0,0
216,66073.286877607,1098,0,0,0
40,66073.286882028,1098,1,5,439
77,66073.286889871,666,1,19,1351
77,66073.286905128,666,1,5,439
216,66073.295678683,1098,0,0,0
216,66073.295710276,1098,0,0,0
77,66073.295718091,1098,1,5,440
77,66073.295750078,1098,1,5,439
40,66073.295755595,1098,1,5,439
216,66073.305588983,1098,0,0,0
40,66073.305592051,1098,1,5,439
77,66073.305616967,666,1,19,1351
77,66073.305621803,666,1,5,439
216,66073.315587436,1098,0,0,0
216,66073.315616102,1098,0,0,0
40,66073.31561888,1098,1,5,439
77,66073.315624075,1098,1,5,440
77,66073.315624075,1098,1,5,440
124,66073.315633063,666,0,0,0
77,66073.315648053,1098,1,5,439
77,66073.315648053,1098,1,5,439
40,66073.315650566,1098,1,5,439
77,66073.326465037,666,1,19,1351
77,66073.326469702,666,1,5,439
216,66073.326481648,1098,0,0,0
40,66073.32648577,1098,1,5,439
216,66073.326517212,1098,0,0,0
77,66073.326524454,1098,1,5,440
77,66073.32653305,1098,1,5,439
40,66073.326535413,1098,1,5,439
216,66073.335579132,1098,0,0,0
216,66073.345584442,1098,0,0,0
40,66073.345587677,1098,1,5,439
77,66073.345612637,666,1,19,1351
77,66073.345617647,666,1,5,439
216,66073.355578715,1098,0,0,0
77,66073.355604662,666,1,19,1351
77,66073.35562766,666,1,5,439
216,66073.366208203,1098,0,0,0
40,66073.36621195,1098,1,5,439
77,66073.366219941,666,1,19,1351
77,66073.366224544,666,1,5,439
216,66073.37564101,1098,0,0,0
77,66073.385585105,666,1,19,1351
77,66073.385616824,666,1,5,439
216,66073.385627736,1098,0,0,0
40,66073.385631475,1098,1,5,439
216,66073.385657251,1098,0,0,0
77,66073.385664543,1098,1,5,440
77,66073.38569086,666,1,5,439
185,66073.38570042,666,1,5,439
108,66073.385720016,666,0,0,0
251,66073.385724713,666,0,0,0
77,66073.385739009,1098,1,5,439
77,66073.385739009,1098,1,5,439
40,66073.385742763,1098,1,5,439
216,66073.39564252,1098,0,0,0
40,66073.395646461,1098,1,5,439
216,66073.395672827,1098,0,0,0
77,66073.395678752,1098,1,5,440
77,66073.395683419,1098,1,5,439
40,66073.395686143,1098,1,5,439
77,66073.406630731,666,1,19,1351
77,66073.406635873,666,1,5,439
216,66073.406647989,1098,0,0,0
40,66073.406652293,1098,1,5,439
216,66073.406684555,1098,0,0,0
77,66073.40669312,1098,1,5,440
77,66073.406716707,1098,1,5,439
40,66073.406719432,1098,1,5,439
216,66073.415580136,1098,0,0,0
124,66073.415615352,666,0,0,0
124,66073.415632372,666,0,0,0
216,66073.425573747,1098,0,0,0
40,66073.425577559,1098,1,5,439
77,66073.425602294,666,1,19,1351
77,66073.425607104,666,1,5,439
216,66073.435720243,1098,0,0,0
40,66073.435724167,1098,1,5,439
77,66073.4462079,666,1,19,1351
77,66073.446213112,666,1,5,439
216,66073.446225236,1098,0,0,0
40,66073.446229426,1098,1,5,439
216,66073.446261037,1098,0,0,0
77,66073.446269495,1098,1,5,440
77,66073.446292025,1098,1,5,439
40,66073.446294546,1098,1,5,439
216,66073.455601246,1098,0,0,0
77,66073.465583632,666,1,19,1351
77,66073.465588986,666,1,5,439
216,66073.465600024,1098,0,0,0
40,66073.465604145,1098,1,5,439
77,66073.465609165,1098,1,5,440
77,66073.465658794,1098,1,5,439
40,66073.465662028,1098,1,5,439
216,66073.472272736,1098,0,0,0
77,66073.472492919,1098,1,21,1542
77,66073.472517636,1098,1,21,1542
43,66073.473010071,566,22,385,31877
13,66073.475087076,566,4,48,3843
5,66073.47513335,566,2,38,3222
5,66073.475139642,566,2,38,3213
193,66073.475161054,566,4,85,6933
69,66073.475166105,566,1,5,439
163,66073.475171578,566,4,48,3840
28,66073.475173481,566,1,5,439
5,66073.475181776,566,2,38,3222
193,66073.475197308,566,4,127,10629
222,66073.47520374,566,2,93,5010
69,66073.475208177,566,1,5,439
163,66073.475212782,566,4,48,3837
163,66073.475224484,566,4,48,3827
168,66073.475230786,566,0,0,0
163,66073.475239101,566,4,50,3939
163,66073.475249341,566,4,50,3943
28,66073.475260308,566,1,5,439
5,66073.475274979,566,2,38,3222
193,66073.475287506,566,4,117,9603
222,66073.475291991,566,2,93,4916
69,66073.475295419,566,1,5,439
163,66073.475301937,566,4,51,3969
168,66073.475306934,566,0,0,0
163,66073.475311517,566,4,51,3998
28,66073.475327991,566,1,5,439
5,66073.4753396,566,2,38,3222
193,66073.475352153,566,4,131,10795
222,66073.475357058,566,2,93,4882
69,66073.47536074,566,1,5,439
163,66073.475366345,566,4,51,4025
168,66073.47537157,566,0,0,0
163,66073.475376026,566,4,51,3982
28,66073.475396162,566,1,5,439
5,66073.475410456,566,2,38,3222
193,66073.475421103,566,4,137,11465
222,66073.475425234,566,2,93,4942
69,66073.4754285,566,1,5,439
163,66073.47543769,566,4,51,3986
168,66073.47544381,566,0,0,0
163,66073.475449104,566,4,51,4026
163,66073.47545797,566,4,51,4027
28,66073.475472616,566,1,5,439
5,66073.47549045,566,2,38,3222
193,66073.475501562,566,4,117,9561
222,66073.475505611,566,2,93,4891
69,66073.475508853,566,1,5,439
163,66073.475514367,566,4,51,3978
168,66073.475519856,566,0,0,0
163,66073.475524089,566,4,51,3963
28,66073.475578989,566,1,5,439
5,66073.476124426,566,2,38,3222
193,66073.476140553,566,4,127,10693
222,66073.476145648,566,2,93,4932
69,66073.476149423,566,1,5,439
163,66073.476156082,566,4,51,3997
168,66073.476162661,566,0,0,0
163,66073.4761681,566,4,51,3982
28,66073.476185183,566,1,5,439
5,66073.476200823,566,2,38,3222
193,66073.476213197,566,4,123,10239
222,66073.476217269,566,2,93,4930
69,66073.476220768,566,1,5,439
163,66073.476225673,566,4,51,3983
163,66073.476233803,566,4,51,3988
168,66073.476238507,566,0,0,0
163,66073.476243121,566,4,51,3992
28,66073.476259998,566,1,5,439
5,66073.476275461,566,2,38,3222
193,66073.476289454,566,4,133,10971
222,66073.476293944,566,2,93,4861
69,66073.476297645,566,1,5,439
163,66073.476308898,566,4,51,3986
168,66073.47631401,566,0,0,0
163,66073.476319002,566,4,51,3990
163,66073.476328178,566,4,51,4004
28,66073.476340686,566,1,5,439
5,66073.47635979,566,2,38,3222
193,66073.476371008,566,4,115,9371
222,66073.476374901,566,2,93,4918
69,66073.476378451,566,1,5,439
163,66073.476384011,566,4,51,3995
168,66073.476389484,566,0,0,0
163,66073.476393557,566,4,52,4049
28,66073.476409911,566,1,5,439
5,66073.476424702,566,2,38,3222
193,66073.476434657,566,4,123,10165
222,66073.47643912,566,2,93,4936
69,66073.476442649,566,1,5,439
163,66073.476452079,566,4,52,4034
168,66073.476456236,566,0,0,0
163,66073.47646043,566,4,52,4044
28,66073.476475227,566,1,5,439
5,66073.47648846,566,2,38,3222
193,66073.476500092,566,4,115,9351
222,66073.476504174,566,2,93,4989
69,66073.476507573,566,1,5,439
163,66073.476512975,566,4,52,4034
168,66073.47651774,566,0,0,0
163,66073.476522803,566,4,52,4055
163,66073.476532913,566,4,52,4034
28,66073.476545473,566,1,5,439
163,66073.47659393,566,4,52,4032
163,66073.476621142,566,4,52,4032
399,66073.476627845,566,0,0,0
168,66073.476755507,566,0,0,0
168,66073.476768603,566,0,0,0
168,66073.476801893,566,0,0,0
168,66073.477636315,566,0,0,0
168,66073.477740732,566,0,0,0
168,66073.47775395,566,0,0,0
168,66073.477840209,566,0,0,0
168,66073.477857057,566,0,0,0
168,66073.478268371,566,0,0,0
168,66073.478350822,566,0,0,0
168,66073.478364947,566,0,0,0
168,66073.478659023,566,0,0,0
168,66073.478669593,566,0,0,0
183,66073.478680746,566,4,41,3435
273,66073.478686348,566,0,0,0
271,66073.478688088,566,0,0,0
240,66073.478699048,566,0,0,0
240,66073.478700526,566,0,0,0
242,66073.478702068,566,0,0,0
107,66073.478712804,566,3,24,1752
13,66073.478827452,566,4,52,4056
13,66073.478832056,566,4,52,4054
77,66073.478936817,566,1,5,439
77,66073.478993129,566,1,5,439
127,66073.479047571,566,1,15,1103
33,66073.479051489,566,1,10,757
28,66073.479054584,566,1,5,439
326,66073.479122558,566,2,31,2543
326,66073.479133833,566,2,28,2571
193,66073.479152722,566,4,74,6305
69,66073.47916208,566,1,5,439
222,66073.479171045,566,2,94,7763
193,66073.479203574,566,4,113,9283
69,66073.479207232,566,1,5,439
85,66073.479242827,566,1,7,539
85,66073.479252243,566,1,5,439
28,66073.479255875,566,1,5,439
326,66073.479278232,566,2,39,3588
193,66073.479285199,566,4,96,8340
69,66073.479289006,566,1,5,439
222,66073.479296355,566,2,55,5174
222,66073.479304751,566,2,11,942
28,66073.479309032,566,1,5,439
326,66073.479319793,566,2,38,3522
193,66073.479327983,566,4,94,8208
69,66073.47933109,566,1,5,439
222,66073.479334197,566,2,94,7623
222,66073.479338341,566,2,11,942
28,66073.479340248,566,1,5,439
222,66073.479343982,566,2,11,942
28,66073.479345666,566,1,5,439
326,66073.479351707,566,2,33,2725
326,66073.479366855,566,2,38,3262
89,66073.479370283,566,1,12,1065
319,66073.479393,566,1,9,634
29,66073.47940903,566,2,61,5106
28,66073.47941279,566,1,5,439
319,66073.479421297,566,1,9,634
29,66073.479425896,566,2,61,5106
28,66073.479428488,566,1,5,439
193,66073.479448427,566,4,89,7583
69,66073.47945291,566,1,5,439
222,66073.479456363,566,2,93,8248
222,66073.479463633,566,2,11,942
28,66073.479465621,566,1,5,439
193,66073.479478274,566,4,85,6933
69,66073.479481104,566,1,5,439
163,66073.479486704,566,4,52,4052
28,66073.479488288,566,1,5,439
5,66073.479496133,566,2,38,3222
193,66073.479507865,566,4,133,11303
222,66073.479512077,566,2,93,4958
69,66073.479515481,566,1,5,439
163,66073.479523833,566,4,52,4044
168,66073.479530306,566,0,0,0
163,66073.47953776,566,4,52,4033
28,66073.479556487,566,1,5,439
5,66073.479571793,566,2,38,3222
193,66073.479584947,566,4,119,9809
222,66073.479589461,566,2,93,5001
69,66073.479593087,566,1,5,439
163,66073.479600071,566,4,52,4031
168,66073.479618457,566,0,0,0
163,66073.479625459,566,4,52,4045
163,66073.479636659,566,4,52,4051
28,66073.47964781,566,1,5,439
168,66073.47968319,566,0,0,0
168,66073.479692676,566,0,0,0
183,66073.479703723,566,4,41,3438
193,66073.479722528,566,4,85,6933
69,66073.479726309,566,1,5,439
163,66073.479730364,566,4,52,4047
28,66073.479731969,566,1,5,439
5,66073.479740229,566,2,38,3222
193,66073.479751981,566,4,127,10675
222,66073.479755996,566,2,93,4874
69,66073.47975905,566,1,5,439
163,66073.479766163,566,4,52,4036
168,66073.479771253,566,0,0,0
163,66073.479775053,566,4,52,4028
28,66073.479791698,566,1,5,439
5,66073.479807305,566,2,38,3222
193,66073.479818542,566,4,131,11077
222,66073.479822925,566,2,93,4875
69,66073.479826262,566,1,5,439
163,66073.479832879,566,4,52,4053
168,66073.479838016,566,0,0,0
163,66073.47984338,566,4,52,4026
