syscall,time,process,fields,length,value
77,61427.703515675,666,1,19,1351
77,61427.913373705,666,1,5,439
40,61427.913381822,666,1,5,439
77,61427.923337615,666,1,19,1351
77,61427.943343346,666,1,5,439
124,61427.963331673,666,0,0,0
124,61427.963350657,666,0,0,0
77,61427.96335966,666,1,19,1351
77,61427.963362942,666,1,5,439
124,61427.983348015,666,0,0,0
77,61427.983363554,666,1,19,1351
77,61427.98336729,666,1,5,439
27,61427.990140423,1098,21,462,37185
271,61427.990154005,1098,0,0,0
163,61427.990158742,1098,4,53,4119
183,61427.990164983,1098,4,42,3477
183,61427.990167627,1098,4,42,3478
168,61427.990170009,1098,0,0,0
311,61427.990181024,1098,0,0,0
311,61427.990182374,1098,0,0,0
242,61427.990183991,1098,0,0,0
112,61427.990185314,1098,0,0,0
77,61427.990191753,1098,1,5,440
77,61427.990191753,1098,1,5,440
27,61427.991135172,1098,21,463,37223
271,61427.991143512,1098,0,0,0
163,61427.99114815,1098,4,53,4102
183,61427.991154688,1098,4,42,3488
168,61427.991157158,1098,0,0,0
311,61427.991165568,1098,0,0,0
311,61427.991167002,1098,0,0,0
242,61427.991168847,1098,0,0,0
112,61427.991170221,1098,0,0,0
27,61427.9911776,1098,21,463,37243
271,61427.991186278,1098,0,0,0
163,61427.991189684,1098,4,53,4084
168,61427.991192195,1098,0,0,0
311,61427.991198816,1098,0,0,0
311,61427.991200101,1098,0,0,0
242,61427.99120161,1098,0,0,0
112,61427.991202893,1098,0,0,0
77,61427.991210842,1098,1,5,440
77,61427.991228105,1098,1,5,440
27,61427.99129382,1098,21,463,37258
271,61427.991301201,1098,0,0,0
163,61427.991304771,1098,4,53,4089
183,61427.991310307,1098,4,42,3481
168,61427.991312618,1098,0,0,0
311,61427.991319926,1098,0,0,0
311,61427.991321172,1098,0,0,0
242,61427.991322774,1098,0,0,0
112,61427.991324094,1098,0,0,0
77,61427.991329444,1098,1,5,440
77,61427.99338707,666,1,5,439
216,61427.993411621,1098,0,0,0
77,61428.003521886,666,1,19,1351
77,61428.003526517,666,1,5,439
216,61428.003539126,1098,0,0,0
40,61428.003543045,1098,1,5,439
77,61428.02275133,666,1,19,1351
77,61428.022759347,666,1,5,439
216,61428.02277728,1098,0,0,0
40,61428.022783698,1098,1,5,439
124,61428.022795859,666,0,0,0
124,61428.022810801,666,0,0,0
77,61428.023502075,666,1,19,1351
77,61428.023533175,666,1,5,439
216,61428.023544177,1098,0,0,0
216,61428.039169331,1098,0,0,0
40,61428.03917368,1098,1,5,439
124,61428.039184876,666,0,0,0
77,61428.045825903,666,1,19,1351
77,61428.045854401,666,1,5,439
216,61428.045863401,1098,0,0,0
77,61428.053356277,666,1,19,1351
77,61428.053361788,666,1,5,439
216,61428.053380776,1098,0,0,0
40,61428.053384885,1098,1,5,439
124,61428.063367244,666,0,0,0
216,61428.06338208,1098,0,0,0
40,61428.063385918,1098,1,5,439
216,61428.063413239,1098,0,0,0
77,61428.063422242,1098,1,5,440
77,61428.063476368,1098,1,5,439
40,61428.063486533,1098,1,5,439
216,61428.074248414,1098,0,0,0
40,61428.074251406,1098,1,5,439
